Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	127.12616	14.938885	141.88692	102.92968	1000.0	-6.0957675	12.192255	15.7605	-33.532803	112000	1.8835069e-08	2781.0203	-0.008225784	-1926.3374	0.9185367	0.012635582	0.09525	79.0	111.99550080299377
28	-47.958775	84.60966	90.8326	-139.44453	529.8333	5.371562	20.421164	30.99816	-22.518412	116000	-8.9406965e-10	4439.6724	-0.005634502	-2226.4517	0.9810128	0.008756128	0.0845	79.0	117.57773399353027
29	-0.32585654	119.7122	131.39182	-203.27782	665.0	0.49810326	18.499113	29.465336	-28.613228	120000	3.0219557e-08	4822.6484	-0.00795884	-525.2744	0.98173726	0.0075072465	0.10325	79.0	123.23342299461365
30	55.790287	85.58013	112.35329	-92.23918	839.5	-1.4746094	20.796581	32.396393	-32.848972	124000	-4.768372e-10	2418.929	-0.0081713125	-669.13416	0.9729086	0.006091226	0.073	79.0	130.07659077644348
31	20.240358	97.56651	127.44466	-104.372475	742.8	0.6325107	18.20965	32.838844	-32.91888	128000	-2.0503998e-08	2376.3582	-0.005793884	-127.245605	0.9776888	0.007878551	0.095	79.0	136.0409119129181
32	28.995483	56.417393	136.1452	-27.164602	743.8	1.1422186	22.969292	31.834045	-30.1151	132000	-5.9604643e-10	1643.3667	-0.009474314	-214.73242	1.0032215	0.0075840047	0.0595	79.0	142.00928688049316
33	63.77257	64.564125	126.88703	-19.09868	744.2	1.0820906	14.236759	27.100653	-17.317448	136000	8.34465e-09	1772.2448	-0.007930166	-240.47827	0.9453473	0.004757808	0.10125	79.0	147.47761273384094
34	122.89372	21.57723	159.5937	104.894196	989.25	8.32359	16.220633	31.27688	-7.5983815	140000	4.005432e-08	1565.1198	-0.0044742157	-591.38477	0.89095616	0.0040400773	0.033	79.0	153.93603420257568
35	143.07962	60.826836	247.6145	96.43959	875.75	21.656343	12.711517	34.457	-3.3820982	144000	3.5762786e-09	2162.304	-0.0064347987	-203.39966	0.8968819	0.004130396	0.05925	79.0	160.46053099632263
36	179.02821	59.602654	248.45518	112.67741	942.25	13.8144245	18.650005	35.80263	-4.177855	148000	2.360344e-08	3346.3113	-0.0066221314	-677.4424	0.8082211	0.0041608983	0.081	79.0	167.12992906570435
37	160.9794	90.77365	236.7229	-9.212042	676.8	35.37746	2.4868424	37.316856	28.024218	152000	-6.0796737e-09	5358.726	-0.010095086	-460.06738	0.9539917	0.009387936	0.084	79.0	173.05001401901245
38	188.6328	53.067642	236.06476	97.45706	738.2	40.261703	0.15747355	40.441967	39.428905	156000	3.3020974e-08	4283.5747	-0.0052655274	-288.10327	0.88802505	0.0022279506	0.0425	79.0	180.58745193481445
