Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
26	6368.76	201.57594	6701.195	6070.382	6445.836	283.16202	6846.026	5990.927	1000.0	1000.0	130000	353.0826	96.15538	486.38782	-141.50241	353.08337	96.1561	489.71915	-137.3168	-356.05447	45.382168	2031.698576927185
27	6506.9424	179.50269	6684.2944	6163.53	6237.8486	110.78902	6423.7324	6044.0806	1000.0	1000.0	135000	367.5874	98.489876	511.48517	-139.78949	367.5875	98.49009	512.7486	-137.93924	-370.6117	47.837536	2112.0196390151978
28	5965.811	757.6291	6653.3076	4494.6484	6826.686	188.86029	6990.7515	6331.998	1000.0	1000.0	140000	380.73215	100.66019	527.1894	-144.24278	380.73264	100.659096	524.72205	-145.59294	-383.92984	49.222923	2190.8980870246887
29	6680.073	160.45963	6913.5464	6481.839	7137.4585	256.17422	7340.0894	6436.6577	1000.0	1000.0	145000	393.5532	103.619896	535.4914	-172.90729	393.5532	103.6202	535.61224	-168.27742	-396.6806	52.43333	2268.711501121521
30	5423.2764	2597.1143	6886.5615	236.35327	6715.8657	367.87088	6964.252	5640.0015	1000.0	1000.0	150000	403.22968	110.240616	547.05414	-193.90605	403.22986	110.24203	546.91315	-191.73608	-406.23474	54.116344	2343.549451112747
31	6972.836	150.73752	7206.8125	6763.7344	6980.8257	83.87066	7108.435	6813.72	1000.0	1000.0	155000	414.3753	114.16733	560.7042	-217.18527	414.3755	114.16738	559.75964	-221.05714	-417.70413	54.8653	2417.9116950035095
32	5817.455	2033.6104	7062.39	1761.2778	6552.416	1008.1433	7144.7676	3572.4045	1000.0	1000.0	160000	424.44003	117.4163	579.0596	-210.24658	424.4395	117.41604	572.4748	-221.97108	-427.2562	58.05309	2496.926786184311
33	6559.3486	267.6381	6870.834	6116.3623	7421.8975	78.3753	7588.2637	7324.053	1000.0	1000.0	165000	433.7532	120.45904	583.6526	-230.59477	433.75308	120.46009	581.4573	-225.92065	-437.0145	63.4182	2578.043359041214
34	6992.8774	175.78285	7205.138	6728.21	7228.882	102.17356	7392.591	7085.066	1000.0	1000.0	170000	443.69577	122.08135	590.47015	-257.38702	443.69675	122.08217	588.036	-261.29614	-446.7922	64.794975	2659.9759221076965
35	6940.3604	209.53685	7252.072	6689.2676	7005.341	82.130745	7147.584	6875.099	1000.0	1000.0	175000	453.0394	123.188126	601.69073	-267.45905	453.03937	123.188934	599.20337	-276.50082	-456.1284	63.816856	2736.5889179706573
36	7003.288	92.70755	7131.6294	6865.6704	7314.1064	134.81099	7481.239	7015.8696	1000.0	1000.0	180000	462.22104	123.82312	605.63416	-258.50513	462.22116	123.823814	605.23627	-265.48694	-465.101	59.766068	2816.7074267864227
37	7062.824	92.1987	7186.2026	6917.914	7408.004	103.45008	7649.1816	7292.425	1000.0	1000.0	185000	472.11218	123.53863	612.68756	-271.94897	472.11252	123.53884	610.83636	-284.06348	-475.27536	56.814976	2889.4898529052734
38	6906.8037	111.90143	7030.2944	6697.7065	7345.835	45.37255	7405.0967	7265.7524	1000.0	1000.0	190000	480.37888	124.845085	622.0406	-303.8818	480.3785	124.845055	625.38245	-297.56995	-483.1071	57.551273	2970.293933868408
39	7041.018	131.24258	7181.2695	6797.5195	7498.935	94.394806	7627.3423	7350.326	1000.0	1000.0	195000	488.12213	125.74183	628.24884	-273.30872	488.12292	125.7412	626.4998	-272.49692	-491.0467	61.089775	3050.378103017807
40	6951.586	258.2245	7248.59	6492.0557	7298.522	113.81055	7472.2217	7122.4634	1000.0	1000.0	200000	495.71573	125.90992	636.1735	-291.64493	495.71628	125.9103	632.40375	-295.69437	-498.3811	60.203663	3133.9892299175262
41	6759.9385	884.69916	7294.5605	5003.915	7510.3213	158.33134	7762.5	7260.4233	1000.0	1000.0	205000	502.28336	126.541954	638.0541	-288.16574	502.28366	126.542435	637.06866	-281.08493	-505.091	59.6432	3212.3694190979004
42	7021.456	179.0218	7297.476	6749.0464	7359.509	92.66434	7509.4243	7176.653	1000.0	1000.0	210000	508.47968	127.955505	646.039	-288.89963	508.48026	127.95429	644.64825	-283.36215	-511.45694	63.161823	3292.7832589149475
43	7150.6562	149.11131	7388.467	6917.0693	7567.9062	119.22533	7751.823	7359.836	1000.0	1000.0	215000	515.2557	127.63549	648.7596	-306.84833	515.2558	127.63561	648.1782	-299.64612	-518.332	60.37129	3367.6415209770203
44	7341.995	141.61305	7514.3525	7117.0903	7669.3516	82.89189	7780.6167	7521.669	1000.0	1000.0	220000	521.27655	127.24746	658.11255	-312.07394	521.2765	127.247215	654.23486	-310.67096	-524.1109	59.522427	3442.616359949112
45	7321.754	151.84056	7465.429	7049.7837	7714.7383	123.30758	7908.376	7570.407	1000.0	1000.0	225000	526.85504	127.719315	659.67645	-311.087	526.8558	127.71782	658.112	-296.80017	-529.6868	59.928642	3526.5109860897064
46	7444.671	134.63638	7684.7935	7273.9907	7313.093	130.56935	7466.205	7107.572	1000.0	1000.0	230000	532.3886	127.870964	664.32935	-325.1451	532.3891	127.86754	663.59937	-319.15588	-535.332	59.433083	3604.919235229492
47	7295.3687	191.21027	7613.6963	7054.6646	7426.3643	120.78686	7624.7573	7178.519	1000.0	1000.0	235000	537.8406	128.02426	666.262	-328.57278	537.8409	128.02563	665.8143	-324.26013	-540.5582	61.00005	3687.7752499580383
48	7289.046	147.31705	7549.2593	7123.669	7838.5225	146.42477	8070.9087	7623.567	1000.0	1000.0	240000	543.047	128.06299	672.6186	-311.74792	543.0474	128.06091	670.6406	-316.7078	-545.7246	62.338886	3765.6447088718414
49	7446.581	162.12675	7678.9136	7170.629	7708.624	64.33104	7778.4565	7594.6733	1000.0	1000.0	245000	547.66626	128.5971	673.09717	-310.02704	547.6669	128.59703	672.8665	-304.30084	-550.2028	62.735264	3845.5102019309998
50	7153.9937	320.79425	7564.2285	6769.6772	7815.0054	98.61721	7949.833	7622.704	1000.0	1000.0	250000	552.893	128.30988	681.03894	-301.088	552.89307	128.30931	679.4372	-305.09274	-555.8421	60.21067	3917.1006350517273
51	7291.457	468.33936	7639.9014	6370.159	7798.036	86.485085	7937.6206	7621.9917	1000.0	1000.0	255000	557.03217	128.40826	680.6992	-287.0281	557.03296	128.40758	682.4282	-278.6562	-559.6065	59.819824	3999.6773178577423
52	7431.897	147.05559	7568.9385	7152.7275	7588.5483	84.86082	7708.477	7439.2236	1000.0	1000.0	260000	561.80145	127.03898	696.541	-269.97766	561.80096	127.03985	696.01263	-277.0903	-564.5644	57.164555	4079.632817029953
53	7479.108	217.1291	7799.2305	7124.969	7814.471	74.88722	7946.3022	7646.81	1000.0	1000.0	265000	566.48456	126.39589	698.4841	-274.6857	566.48505	126.396095	695.50116	-280.32785	-569.3901	57.712257	4162.676424026489
54	7539.8687	273.56235	7806.055	7029.054	8073.995	103.44224	8213.949	7883.0176	1000.0	1000.0	270000	571.35504	125.40745	704.0441	-287.41855	571.3552	125.40764	703.1496	-283.42026	-574.3364	58.366573	4243.865344047546
55	7665.608	119.250984	7794.483	7452.786	7720.7476	86.97316	7887.2305	7554.8936	1000.0	1000.0	275000	574.98553	125.5577	706.2317	-285.26242	574.986	125.55768	704.6412	-295.29895	-577.493	56.19285	4322.825662136078
56	6850.9907	1242.2344	7735.864	4425.991	7755.753	111.89007	7930.433	7574.0728	1000.0	1000.0	280000	578.08997	126.12137	707.32837	-300.6148	578.0902	126.12141	707.2868	-284.73148	-580.57965	57.706177	4399.107222080231
