Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	18.901403	18.03346	140.58316	6.066049	38.865997	0.88802683	40.265213	36.972294	23.01389	22.1	5000	8.637668	7.3830237	55.45832	-14.53451	8.639719	7.382555	56.65759	-11.537456	-2.8917553	0.20595294	38.10931611061096
2	18.377634	15.866715	111.364006	5.8850656	38.6482	1.0078689	40.22689	36.95955	22.554054	22.0	10000	36.689472	22.894299	146.02461	-64.89886	36.69591	22.869944	150.71082	-66.10098	-11.273515	2.0945604	78.09832382202148
3	103.371025	57.38328	228.49373	17.520224	181.93887	4.745656	188.7726	171.71495	60.096386	103.6	15000	80.133125	35.806187	173.802	-86.55197	80.10604	35.822807	172.99936	-86.06739	-22.027533	9.967384	120.47139406204224
4	187.48737	20.297516	247.6053	149.89748	218.71353	2.0413666	221.5296	215.50435	109.422226	124.4	20000	95.761765	39.178963	172.993	-72.97642	95.77324	39.16658	174.4266	-82.29095	-27.848143	6.9129834	159.93614602088928
5	150.9206	49.38925	229.75316	9.093741	120.28253	3.6859555	125.79249	115.984764	92.32727	78.0	25000	99.28176	42.24867	179.934	-69.45136	99.28273	42.25851	178.28294	-71.304474	-28.327444	6.0070934	200.25889706611633
6	200.31363	129.82011	1003.1145	123.8585	190.27206	14.215176	210.44292	173.03519	125.175	110.3	30000	96.80009	43.35639	181.19441	-75.18864	96.79957	43.35572	177.03096	-66.75133	-27.085741	4.476976	240.43530988693237
7	242.67683	147.92958	1020.1555	72.17588	258.92535	15.154271	285.0599	239.08432	161.41936	167.6	35000	93.950676	42.46389	170.49089	-102.8442	93.94655	42.47767	170.62195	-166.62318	-25.683563	3.5298421	281.0399761199951
8	221.70187	60.04463	299.35626	35.280785	195.69284	0.95291257	196.85382	193.98927	137.16667	103.2	40000	91.509636	41.02396	168.30449	-67.11563	91.50788	41.02226	169.68791	-69.11279	-24.587791	3.2554905	321.00201892852783
9	217.46371	35.110004	280.0229	76.62387	266.66974	15.946829	285.7092	241.13058	126.25	174.2	45000	89.12119	39.746586	162.57849	-117.67433	89.1114	39.751244	162.36223	-93.51919	-23.457548	3.105057	362.39458298683167
