Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	262.83673	74.99138	396.88727	103.69895	171.59091	86.299736	22.773592	98.87963	-6.824788	116000	-3.027916e-08	574.00385	-0.049831476	-218.49658	5.095174	0.015167764	0.2885	75.0	87.52428221702576
29	306.18927	134.91882	719.211	63.352413	207.6842	87.53501	26.612642	100.685776	-15.36359	120000	-3.671646e-08	973.08527	-0.03984668	-262.8051	5.1356053	0.015061898	0.23225	49.0	90.39196801185608
30	246.44678	121.54596	566.6341	59.3966	185.7619	82.00722	35.13586	102.84977	-15.297462	124000	-1.0251999e-08	651.7015	-0.0463707	-283.56287	5.118451	0.01489801	0.263	79.0	93.70215797424316
31	276.96075	82.6411	397.10947	28.714554	167.65218	88.36954	27.020874	104.27805	-15.538933	128000	-1.5735626e-08	729.2201	-0.015288839	-197.9925	5.123708	0.015696928	0.16575	8.0	96.93539309501648
32	273.71588	134.23715	515.5165	51.241924	190.8	85.11094	36.86088	106.60422	-15.929648	132000	-1.1920929e-09	810.938	-0.042186685	-196.41742	5.1334696	0.015060722	0.24775	48.0	100.51417899131775
33	306.32944	103.48154	451.53006	54.975296	195.1	89.88937	30.75922	108.55323	-16.062433	136000	-4.768372e-10	562.9765	-0.03556597	-158.88364	5.0803394	0.015208467	0.21725	30.0	104.01259899139404
34	282.60013	119.29464	522.2408	22.07991	192.85	88.55141	35.72064	111.11281	-16.19831	140000	-2.5272369e-08	516.73883	-0.018184673	-120.129395	5.087101	0.015893983	0.18	10.0	107.46812105178833
35	289.39456	131.46375	606.8248	26.464891	189.90475	93.545654	33.170383	112.97811	-16.715368	144000	-2.6226044e-09	555.96844	-0.03601076	-166.64194	5.13959	0.015785214	0.2275	32.0	110.57418394088745
36	281.5259	94.757614	406.0343	52.322056	179.27272	93.33901	34.97664	114.4116	-16.88837	148000	-2.9742719e-08	505.53818	-0.018180825	-181.29868	5.0446043	0.01581005	0.2005	10.0	113.62347793579102
37	277.54956	144.05106	508.8873	33.13058	201.0	94.521835	36.064556	115.74451	-15.114476	152000	-2.3841857e-09	882.3506	-0.045001574	-217.05481	5.074207	0.014782418	0.2555	79.0	118.34293985366821
38	280.2283	90.50924	420.662	106.63269	180.95454	88.577324	35.57269	115.3259	-16.932356	156000	-2.7656554e-08	503.7882	-0.015143229	-176.50266	4.994747	0.01628157	0.24325	9.0	123.86722683906555
39	328.67352	95.125206	507.8176	32.633823	202.6842	96.37773	32.492382	116.51376	-13.963877	160000	-3.4332274e-08	423.3845	-0.038538333	-143.3381	4.9974766	0.015235226	0.235	38.0	128.9475269317627
40	262.7798	93.5706	403.31152	12.721207	169.91304	92.60398	38.52287	118.39732	-10.505291	164000	-2.9027461e-08	410.0084	-0.03552625	-113.71634	5.047059	0.0151269315	0.2185	37.0	132.391343832016
41	354.79037	130.35289	787.7341	216.68475	212.11111	104.24708	25.766388	119.28847	16.909275	168000	-9.298325e-09	269.7643	-0.03898202	-100.02228	5.034763	0.015169702	0.23125	47.0	135.26196885108948
42	302.99103	103.69454	505.52612	36.334095	193.15	102.908195	33.042072	121.13355	-9.213602	172000	-2.026558e-08	726.4972	-0.015137845	-285.13107	5.0163426	0.0160966	0.24875	8.0	138.06181001663208
43	369.5746	96.31211	603.33234	244.13467	221.76471	107.983406	25.113602	121.58065	17.099585	176000	9.179115e-09	258.85938	-0.016067026	-99.44006	4.9618344	0.015904138	0.18925	10.0	140.93763780593872
44	334.44797	152.22731	684.354	63.20873	215.83333	107.22303	29.689047	123.21072	-6.9524484	180000	-2.9325486e-08	358.2048	-0.044556797	-202.88818	4.9558787	0.014454586	0.2825	79.0	143.97878289222717
45	326.2677	136.97087	692.6904	49.4643	219.38889	98.51208	36.65647	124.22966	-9.1055355	184000	-2.1457673e-08	346.2206	-0.01437914	-145.87552	5.035389	0.016631136	0.2625	8.0	146.76302218437195
46	299.62265	141.22797	642.65027	33.48269	223.41176	99.604675	35.74483	124.332565	-10.370847	188000	-7.867813e-09	772.97217	-0.017138097	-225.10419	5.0247083	0.01469366	0.19225	9.0	149.49782395362854
47	322.03555	126.61889	577.9292	81.371994	205.63158	95.75627	32.656654	123.54941	-12.071439	192000	6.198883e-09	416.5786	-0.016784167	-197.01212	5.0008698	0.015715353	0.22025	10.0	152.2712550163269
48	340.90076	158.58177	863.6338	141.48888	234.47058	100.352325	35.525665	125.09809	-15.853646	196000	1.9311905e-08	377.36835	-0.044726674	-111.69217	5.0251403	0.015215227	0.275	77.0	155.37934684753418
49	294.73865	112.688866	615.8227	136.15495	219.94444	92.73336	40.7159	125.07669	-17.877813	200000	-6.9141386e-09	601.5132	-0.04528566	-190.24765	5.0427275	0.012931372	0.26575	79.0	158.72772407531738
